ticker,theme,weight
AAPL,Consumer,0.5
AAPL,Software,0.3
AAPL,Semiconductors,0.2
MSFT,AI,0.35
MSFT,Cloud,0.4
MSFT,Software,0.25
NVDA,AI,0.55
NVDA,Semiconductors,0.45
GOOGL,AI,0.3
GOOGL,Cloud,0.35
GOOGL,Media,0.35
AMZN,Cloud,0.45
AMZN,Consumer,0.55
META,AI,0.35
META,Media,0.65
BRK-B,Financials,1.0
AVGO,Semiconductors,0.65
AVGO,AI,0.35
TSLA,Industrials,0.45
TSLA,Energy,0.3
TSLA,AI,0.25
WMT,Consumer,1.0
LLY,Healthcare,1.0
JPM,Financials,1.0
V,Financials,1.0
UNH,Healthcare,1.0
XOM,Energy,1.0
MA,Financials,1.0
ORCL,Cloud,0.55
ORCL,Software,0.45
COST,Consumer,1.0
HD,Consumer,1.0
PG,Consumer,1.0
JNJ,Healthcare,1.0
NFLX,Media,1.0
BAC,Financials,1.0
ABBV,Healthcare,1.0
CRM,Cloud,0.5
CRM,Software,0.5
KO,Consumer,1.0
AMD,Semiconductors,0.55
AMD,AI,0.45
MRK,Healthcare,1.0
PEP,Consumer,1.0
TMO,Healthcare,1.0
CSCO,Cloud,0.45
CSCO,Semiconductors,0.55
ACN,Software,0.55
ACN,Cloud,0.45
LIN,Industrials,0.7
LIN,Energy,0.3
MCD,Consumer,1.0
ADBE,Software,0.65
ADBE,Cloud,0.35
WFC,Financials,1.0
DIS,Media,1.0
GE,Industrials,1.0
TXN,Semiconductors,1.0
INTU,Software,1.0
AMAT,Semiconductors,0.75
AMAT,Industrials,0.25
QCOM,Semiconductors,0.65
QCOM,AI,0.35
IBM,Cloud,0.35
IBM,Software,0.35
IBM,AI,0.3
CAT,Industrials,1.0
VZ,Media,0.45
VZ,Consumer,0.55
CMCSA,Media,1.0
AMGN,Healthcare,1.0
PFE,Healthcare,1.0
NOW,Cloud,0.55
NOW,Software,0.45
MU,Semiconductors,0.75
MU,AI,0.25
